epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,32.5018,0.91266,3.58442,2.34503,1.31952,0.00344,1,0.97931,0.95436,0.00333,0.96774,0.96506,0.96057,0.21105,0.34134,2.6302,0.65149,0.00042,0.00042,0.00042
2,48.1676,0.45205,1.13127,0.98695,0.97002,0.99998,0.96774,0.97215,0.93617,0.99998,0.96774,0.96506,0.7465,0.27767,4.32716,2.1046,0.69457,0.000851486,0.000851486,0.000851486
3,64.3314,0.44144,0.89776,0.6809,0.95551,0.93018,0.85976,0.94813,0.79358,0.93018,0.85976,0.94739,0.78813,0.50978,3.12326,2.3016,0.90561,0.00127426,0.00127426,0.00127426
4,80.3461,0.48442,0.95016,0.62465,0.97389,0.53457,0.77814,0.71269,0.61815,0.3941,0.6129,0.42601,0.24581,0.51047,8.28631,1.67715,1.18451,0.00168832,0.00168832,0.00168832
5,96.3063,0.49244,1.02784,0.5663,0.97622,0.02134,0.58065,0.02403,0.00922,0.01819,0.48387,0.02326,0.00807,2.12576,3.03994,5.90054,4.32682,0.0019208,0.0019208,0.0019208
6,112.694,0.47173,0.97885,0.50225,0.97376,0.39261,0.90323,0.66866,0.47859,0.2223,0.54839,0.23417,0.07563,0.52163,10.7152,7.77076,1.19471,0.001901,0.001901,0.001901
7,130.949,0.46249,0.90965,0.46046,0.96456,0.73162,0.70367,0.81173,0.592,0.73162,0.70367,0.80452,0.62135,0.53804,0.19329,2.26747,1.08393,0.0018812,0.0018812,0.0018812
8,145.215,0.43901,0.81061,0.41861,0.94909,0.38502,0.96774,0.42455,0.40593,0.37219,0.93548,0.41073,0.40595,0.29075,1.40615,4.52821,0.72253,0.0018614,0.0018614,0.0018614
9,159.21,0.42002,0.78652,0.39109,0.94461,0.97507,0.96774,0.96596,0.94731,0.97507,0.96774,0.96524,0.9498,0.28208,0.27809,0.6024,0.70032,0.0018416,0.0018416,0.0018416
10,172.413,0.41055,0.77309,0.37687,0.94965,0.9062,0.96774,0.96147,0.82624,0.9062,0.96774,0.96104,0.86855,0.41319,5.49572,1.10476,0.72535,0.0018218,0.0018218,0.0018218
11,185.29,0.40242,0.75675,0.35973,0.93542,0.93356,0.96774,0.96525,0.90467,0.93356,0.96774,0.96525,0.96525,0.32661,0.17754,0.38164,0.70926,0.001802,0.001802,0.001802
12,197.969,0.40187,0.76243,0.35224,0.93917,0.98761,0.96774,0.96553,0.95961,0.98761,0.96774,0.96553,0.76949,0.26771,1.99141,0.66657,0.656,0.0017822,0.0017822,0.0017822
13,211.13,0.3918,0.74954,0.33681,0.93219,0.99625,0.96774,0.96593,0.89779,0.99625,0.96774,0.9653,0.87479,0.31662,2.32284,0.46852,0.73673,0.0017624,0.0017624,0.0017624
